,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N)
181,181,181,142,7,103,138,43,33,76,27,1,570,430,250,1813,916,0.27292576419214,182,1813,1147,381,578,3,33,0,116,36,1147,286,546,246,2,33,0,13,21,50.3923278116826,0.2615518744551,2.8770706190061,0,10.1133391455972,3.1386224934612,21.4472537053182,33.2170880557977,71.8395815170009,Y,24.2105263157895,24.9122807017544,18.0701754385965,13.3333333333333,N,N,N
182,182,182,140,9,110,136,41,32,98,29,3,598,450,262,1814,1040,0.251923076923077,183,1814,1284,345,692,5,23,0,169,50,1284,222,647,349,2,20,0,17,27,53.8940809968847,0.389408099688474,1.79127725856698,0,13.1619937694704,3.89408099688473,27.1806853582554,26.8691588785047,81.0747663551402,Y,22.742474916388,23.4113712374582,18.3946488294314,16.3879598662207,N,N,N
183,183,183,213,14,142,218,52,70,158,40,3,910,742,413,1815,1460,0.282876712328767,184,1815,1723,301,1195,6,20,0,151,50,1723,215,1131,330,5,20,0,4,18,69.3557748113755,0.348229831688915,1.16076610562972,0,8.76378409750435,2.90191526407429,19.1526407428903,17.4695298897272,88.5084155542658,Y,23.956043956044,23.4065934065934,15.6043956043956,17.3626373626374,N,N,N
184,184,184,454,46,417,336,67,94,322,44,13,1793,907,675,1816,1636,0.412591687041565,185,1816,1733,1194,380,8,39,5,73,34,1733,1118,355,191,2,38,0,7,22,21.9272937103289,0.461627236006924,2.25043277553376,0.288517022504328,4.21234852856319,1.96191575302943,11.0213502596653,68.8978649740335,32.9486439699942,N,18.739542665923,25.3206915783603,23.2571109871723,17.9587283881762,N,Y,N
185,185,185,289,19,294,238,62,74,158,55,7,1196,844,510,1817,1565,0.325878594249201,186,1817,1650,689,665,10,44,1,171,70,1650,576,616,374,4,44,1,7,28,40.3030303030303,0.606060606060606,2.66666666666667,0.0606060606060606,10.3636363636364,4.24242424242424,22.6666666666667,41.7575757575758,62.9696969696969,N,19.8996655518395,24.1638795986622,24.5819397993311,13.2107023411371,N,Y,N
186,186,186,338,32,312,299,78,66,179,45,2,1351,1129,620,1818,1977,0.313606474456247,187,1818,2356,1007,985,6,17,4,253,84,2356,827,913,537,4,17,0,16,42,41.8081494057725,0.254668930390492,0.721561969439728,0.169779286926995,10.7385398981324,3.56536502546689,22.7928692699491,42.741935483871,64.6010186757216,N,22.1317542561066,25.0185048112509,23.0940044411547,13.2494448556625,N,Y,N
187,187,187,452,30,369,377,115,96,226,68,9,1742,1174,729,1819,2526,0.288598574821853,188,1819,2594,1046,1180,8,70,3,199,88,2594,864,1125,467,3,68,0,17,50,45.4895913646877,0.30840400925212,2.69853508095605,0.115651503469545,7.67154973014649,3.39244410177332,18.0030840400925,40.3238242097147,63.4926754047803,Y,21.6417910447761,25.947187141217,21.1825487944891,12.9735935706085,N,N,N
188,188,188,463,37,500,344,71,68,356,49,5,1893,1171,766,1820,2037,0.376043200785469,189,1820,2279,1486,518,5,42,1,169,58,2279,1417,490,254,4,42,1,38,33,22.729267222466,0.219394471259324,1.84291355857832,0.0438788942518649,7.41553312856516,2.54497586660816,11.1452391399737,65.2040368582712,33.8745063624397,N,18.1722134178553,24.4585314315901,26.4131008980454,18.8061278394084,N,Y,N
189,189,189,261,13,185,344,63,128,160,80,3,1237,943,545,1821,1983,0.274836106908724,190,1821,2119,111,1810,11,2,0,123,62,2119,61,1748,237,7,1,0,20,45,85.4176498348277,0.519112789051439,0.0943841434638981,0,5.80462482302973,2.92590844738084,11.1845210004719,5.23831996224634,96.6021708352997,Y,27.8092158447858,21.0994341147939,14.9555375909458,12.9345189975748,N,N,N
190,190,190,404,39,355,324,60,74,298,59,4,1617,907,631,1822,1661,0.379891631547261,191,1822,1753,1115,385,4,32,2,162,53,1753,945,355,387,1,28,2,10,25,21.9623502567028,0.228180262407302,1.82544209925841,0.114090131203651,9.24130062749572,3.02338847689675,22.0764403879064,63.6052481460354,44.0387906446092,N,20.0371057513915,24.9845392702536,21.9542362399505,18.4291898577613,N,Y,N
