City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,5.00,6.00,402.00,203.00,0.00,3.00,608.00,2212.00,1965.00,77.00,3.00,114.00,0.00,21.00,32.00,2212.00,1896.00,65.00,104.00,3.00,114.00,0.00,4.00,26.00,3.48,0.14,5.15,0.00,0.95,1.45,4.70,88.83
Boston,5.00,7.00,477.00,209.00,2.00,3.00,691.00,2626.00,2323.00,54.00,2.00,175.00,1.00,26.00,45.00,2626.00,2231.00,50.00,126.00,2.00,175.00,1.00,3.00,38.00,2.06,0.08,6.66,0.04,0.99,1.71,4.80,88.46
Boston,5.00,8.00,428.00,193.00,2.00,0.00,623.00,2585.00,2200.00,65.00,1.00,214.00,0.00,34.00,71.00,2585.00,2108.00,63.00,125.00,1.00,212.00,0.00,15.00,61.00,2.51,0.04,8.28,0.00,1.32,2.75,4.84,85.11
Boston,5.00,9.00,564.00,267.00,0.00,2.00,833.00,4112.00,3372.00,89.00,3.00,513.00,0.00,53.00,82.00,4112.00,3174.00,84.00,262.00,3.00,506.00,0.00,13.00,70.00,2.16,0.07,12.48,0.00,1.29,1.99,6.37,82.00
Boston,5.00,10.00,348.00,110.00,1.00,3.00,462.00,6184.00,4078.00,207.00,15.00,1529.00,0.00,110.00,245.00,6184.00,3749.00,197.00,478.00,12.00,1517.00,0.00,21.00,210.00,3.35,0.24,24.73,0.00,1.78,3.96,7.73,65.94
Boston,5.00,11.00,303.00,134.00,1.00,2.00,440.00,1322.00,1222.00,11.00,0.00,68.00,0.00,7.00,14.00,1322.00,1179.00,11.00,51.00,0.00,67.00,0.00,2.00,12.00,0.83,0.00,5.14,0.00,0.53,1.06,3.86,92.44
Boston,6.00,1.00,1075.00,715.00,0.00,12.00,1802.00,4089.00,3123.00,260.00,7.00,332.00,2.00,253.00,112.00,4089.00,2899.00,190.00,582.00,4.00,330.00,2.00,16.00,66.00,6.36,0.17,8.12,0.05,6.19,2.74,14.23,76.38
Boston,6.00,2.00,224.00,171.00,0.00,5.00,400.00,1387.00,1089.00,85.00,1.00,102.00,0.00,90.00,20.00,1387.00,1055.00,66.00,143.00,1.00,97.00,0.00,11.00,14.00,6.13,0.07,7.35,0.00,6.49,1.44,10.31,78.51
Boston,6.00,3.00,318.00,199.00,3.00,8.00,528.00,1848.00,1711.00,22.00,10.00,78.00,1.00,8.00,18.00,1848.00,1686.00,19.00,38.00,7.00,78.00,1.00,3.00,16.00,1.19,0.54,4.22,0.05,0.43,0.97,2.06,92.59
Boston,6.00,4.00,322.00,200.00,4.00,21.00,547.00,1801.00,1666.00,14.00,4.00,77.00,0.00,12.00,28.00,1801.00,1646.00,14.00,40.00,2.00,77.00,0.00,2.00,20.00,0.78,0.22,4.28,0.00,0.67,1.55,2.22,92.50
Boston,6.00,5.00,320.00,201.00,2.00,14.00,537.00,1678.00,1617.00,8.00,2.00,31.00,1.00,11.00,8.00,1678.00,1598.00,7.00,28.00,1.00,31.00,1.00,5.00,7.00,0.48,0.12,1.85,0.06,0.66,0.48,1.67,96.36
Boston,6.00,6.00,241.00,225.00,11.00,33.00,510.00,1503.00,1459.00,14.00,1.00,13.00,0.00,6.00,10.00,1503.00,1453.00,12.00,12.00,1.00,13.00,0.00,4.00,8.00,0.93,0.07,0.86,0.00,0.40,0.67,0.80,97.07
