,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
46,40,2,5,70,0,0,117,0,117,59.82905983,34.18803419,0509,2663,0.04393541119,49,0509,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.164396887,0.07295719844,12.47568093,0,1.288910506,1.994163424,6.371595331,82.00389105,5.140443109
47,18,3,7,58,0,1,87,0,87,66.66666667,20.68965517,0510,1967,0.04422979156,50,0510,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.347347995,0.2425614489,24.72509702,0,1.778783959,3.961836999,7.729624838,65.94437257,3.847991866
48,41,2,1,72,0,2,118,0,118,61.01694915,34.74576271,0511,1167,0.1011139674,51,0511,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.8320726172,0,5.143721634,0,0.5295007564,1.059001513,3.857791225,92.43570348,11.93144816
49,117,5,37,341,0,1,501,11,512,66.6015625,22.8515625,0601,5112,0.1001564945,52,0601,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.358522866,0.1711910002,8.119344583,0.04891171436,6.187331866,2.739056004,14.23330888,76.37564197,51.2801252
50,35,3,29,159,0,3,229,3,232,68.53448276,15.0862069,0602,1458,0.159122085,53,0602,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.128334535,0.07209805335,7.354001442,0,6.488824802,1.441961067,10.31002163,78.5147801,36.91632373
51,28,2,37,191,0,2,260,8,268,71.26865672,10.44776119,0603,1989,0.1347410759,54,0603,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.19047619,0.5411255411,4.220779221,0.05411255411,0.4329004329,0.974025974,2.056277056,92.58658009,36.11060835
52,50,3,55,241,0,4,353,5,358,67.31843575,13.96648045,0604,1923,0.1861674467,55,0604,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.7773459189,0.222098834,4.275402554,0,0.6662965019,1.554691838,2.22098834,92.50416435,66.64794592
53,43,5,51,207,0,2,308,11,319,64.89028213,13.47962382,0605,1736,0.1837557604,56,0605,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.4767580453,0.1191895113,1.847437426,0.05959475566,0.6555423123,0.4767580453,1.668653159,96.3647199,58.61808756
54,36,1,70,312,0,3,422,13,435,71.72413793,8.275862069,0606,1604,0.2711970075,57,0606,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.9314703925,0.06653359947,0.8649367931,0,0.3992015968,0.6653359947,0.7984031936,97.07252162,117.9706983
55,51,0,69,244,0,4,368,13,381,64.04199475,13.38582677,0607,1751,0.2175899486,58,0607,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.4587155963,0.06553079948,0.7863695937,0.131061599,0.1965923984,0.6553079948,1.31061599,97.70642202,82.90177042
